Name,Cuisines,Cost,avg_rating,review_count,tags,Collections,Timings,Links,Popular Dishes
B-Dubs,American,1600.0,4.81,100.0,American Hyderabad's Hottest ,Hyderabad's Hottest,"11am to 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am to 12midnight (Fri-Sat)",https://www.zomato.com/hyderabad/b-dubs-gachibowli,
Amul,"Ice Cream, Desserts",150.0,3.94,100.0,"Ice Cream, Desserts  ",,10 AM to 5 AM,https://www.zomato.com/hyderabad/amul-gachibowli,
SKYHY,"North Indian, Chinese, Continental",1400.0,3.37,100.0,"North Indian, Chinese, Continental Live Sports Screenings, Gigs and Events ","Live Sports Screenings, Gigs and Events","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",https://www.zomato.com/hyderabad/skyhy-gachibowli,
Tiki Shack,Continental,1000.0,3.48,100.0,Continental  ,,"12Noon to 11PM (Mon-Thu),12Noon to 11:30PM (Fri-Sun)",https://www.zomato.com/hyderabad/tiki-shack-gachibowli,
Mustang Terrace Lounge,"Mexican, Italian, North Indian, Chinese, Salad",1300.0,3.31,100.0,"Mexican, Italian, North Indian, Chinese, Salad Rooftops, Live Sports Screenings, Best Bars & Pubs ","Rooftops, Live Sports Screenings, Best Bars & Pubs","12 Noon to 11:30 PM (Mon-Wed), 12 Noon to 1 AM (Fri-Sat), 12 Noon to 12 Midnight (Sun), Thu Closed",https://www.zomato.com/hyderabad/mustang-terrace-lounge-gachibowli,
"3B's - Buddies, Bar & Barbecue","North Indian, Mediterranean, European",1100.0,4.76,100.0,"North Indian, Mediterranean, European Barbecue & Grill, Live Sports Screenings ","Barbecue & Grill, Live Sports Screenings","12 Noon to 4 PM, 6:30 PM to 11:30 PM",https://www.zomato.com/hyderabad/3bs-buddies-bar-barbecue-gachibowli,
Behrouz Biryani,"Mughlai, Biryani",600.0,2.82,100.0,"Mughlai, Biryani  ",,10 AM to 1 AM,https://www.zomato.com/hyderabad/behrouz-biryani-gachibowli,
Hunger Maggi Point,Fast Food,200.0,3.12,100.0,Fast Food  ,,4:30 PM to 5:30 AM,https://www.zomato.com/hyderabad/hunger-maggi-point-gachibowli,
Pot Pourri,"Andhra, South Indian, North Indian",900.0,3.32,100.0,"Andhra, South Indian, North Indian  ",,,https://www.zomato.com/hyderabad/pot-pourri-gachibowli,
Pista House,"Bakery, North Indian, Mughlai, Juices, Chinese",1000.0,3.23,100.0,"Bakery, North Indian, Mughlai, Juices, Chinese Haleem ",Haleem,11 AM to 12 Midnight,https://www.zomato.com/hyderabad/pista-house-2-gachibowli,
Marsala Food Company,"Arabian, North Indian, Chinese",700.0,3.46,100.0,"Arabian, North Indian, Chinese Mandi, Great Buffets, The ‘Must Visit’ Eateries ","Mandi, Great Buffets, The ‘Must Visit’ Eateries","12noon to 4pm, 7pm to 12midnight (Mon-Sun)",https://www.zomato.com/hyderabad/marsala-food-company-gachibowli,
Club Rogue,"North Indian, Fast Food",900.0,2.88,100.0,"North Indian, Fast Food  ",,11 AM to 12 Midnight,https://www.zomato.com/hyderabad/club-rogue-gachibowli,
Mazzo - Marriott Executive Apartments,"Italian, North Indian, South Indian, Asian",1700.0,4.19,100.0,"Italian, North Indian, South Indian, Asian Top-Rated, Gold Curated, Fancy and Fun ","Top-Rated, Gold Curated, Fancy and Fun",6am to 12midnight (Mon-Sun),https://www.zomato.com/hyderabad/mazzo-marriott-executive-apartments-gachibowli,
Green Bawarchi Restaurant,"North Indian, Chinese, Biryani",700.0,3.49,100.0,"North Indian, Chinese, Biryani  ",,12 Noon to 11 PM,https://www.zomato.com/hyderabad/green-bawarchi-restaurant-gachibowli,
Banana Leaf Multicuisine Restaurant,"Biryani, South Indian, North Indian, Chinese, Andhra",700.0,3.69,100.0,"Biryani, South Indian, North Indian, Chinese, Andhra Great Buffets ",Great Buffets,"12:30 PM to 3:30 PM, 7 PM to 10:40 PM",https://www.zomato.com/hyderabad/banana-leaf-multicuisine-restaurant-gachibowli,
